k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,58.3811,26.4656,22.9864,31.9155,-3.4791,35.3947,15,0.0733203905512601,0.08566107117013748,,,,,,,,,,,,,
2,54.178,28.0744,24.8064,26.1036,-3.268,29.3715,15,0.08026436922716494,0.1024574938675173,,,,,,,,,,,,,
4,62.4334,28.6476,24.1931,33.7858,-4.4545,38.2403,15,0.07936192212788275,0.14915170219863713,,,,,,,,,,,,,
6,61.7195,26.5661,24.2936,35.1533,-2.2725,37.4258,15,0.07243088242202386,0.17429085697111138,,,,,,,,,,,,,
8,64.1428,30.9703,25.9226,33.1724,-5.0478,38.2202,15,0.07014862146453198,0.1856521101615691,,,,,,,,,,,,,
10,66.7169,30.1458,26.9281,36.5711,-3.2177,39.7888,15,0.07187969132813014,0.1874516185429907,24.4444,24.0121,68.0845,68.4565,26.2544,21.1865,23.9015,-0.5,41.528406838576004,-2.4836606780687944,-2.9160393277804033,nested_spheres_a-0.5_b0.0,41.09602878491084
12,67.4007,32.8306,29.5928,34.5701,-3.2378,37.8079,15,0.07418745258821388,0.18320292900724658,,,,,,,,,,,,,
20,69.1302,34.5701,28.4565,34.5601,-6.1136,40.6737,15,0.05437862545191396,0.1468825042618604,,,,,,,,,,,,,
30,69.5224,36.3801,31.1413,33.1423,-5.2388,38.3811,15,0.04577741058584852,0.1089442750463747,,,,,,,,,,,,,
