Dataset,k,SGC+MLP,Restricted+StandardMLP,Restricted+RowNorm,Part A Gap (pp),Part B Improvement (pp),Final Gap (pp),Pct Fixed,Status
amazon-computers,10,83.21%,88.70%,88.89%,+5.49,+0.19,+5.68,100.0%,Fully Fixed
amazon-photo,10,90.86%,88.06%,90.13%,-2.80,+2.07,-0.73,74.1%,Partially Fixed
citeseer,10,73.36%,58.33%,73.44%,-15.03,+15.11,+0.08,100.0%,Fully Fixed
coauthor-cs,10,91.18%,79.26%,79.98%,-11.92,+0.72,-11.20,6.1%,Not Fixed
cora,10,85.22%,67.25%,77.23%,-17.96,+9.98,-7.98,55.6%,Partially Fixed
ogbn-arxiv,10,72.17%,72.93%,72.32%,+0.76,-0.61,+0.15,100.0%,Fully Fixed
pubmed,10,85.12%,83.77%,83.95%,-1.35,+0.17,-1.18,12.9%,Not Fixed
wikics,10,81.44%,78.22%,78.61%,-3.22,+0.39,-2.83,12.2%,Not Fixed
