k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,mean_fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,95.028,89.7348,90.0659,5.2933,0.3311,4.9622,75,0.003872499608563742,0.003837019614265383,0.9959230380871193,,,,,,,,,,,,,
2,94.8741,89.1331,90.9729,5.741,1.8398,3.9012,75,0.005859000924982025,0.006057923980205725,0.859345009571506,,,,,,,,,,,,,
4,93.976,87.6529,89.9519,6.3231,2.2991,4.024,75,0.006968427097566507,0.007448656851777595,0.6505723569772545,,,,,,,,,,,,,
6,93.198,87.8069,89.9146,5.3912,2.1077,3.2835,75,0.007335696267535321,0.007869915389639886,0.5205770055575831,,,,,,,,,,,,,
8,92.3507,87.9804,90.1664,4.3703,2.186,2.1842,75,0.007553710431803018,0.008085980265997928,0.42920153082347795,,,,,,,,,,,,,
10,91.5826,88.2323,90.3035,3.3502,2.0712,1.279,75,0.007681926367365198,0.008204886876024449,0.3604443969279328,90.5056,90.4726,89.7107,89.9288,90.4726,90.7664,90.8803,1.0,0.5767683982849121,0.2020469506581435,0.16911379496255563,nested_spheres_a1.0_b1.0,0.8722735246022495
12,90.7637,88.3872,90.3854,2.3765,1.9982,0.3783,75,0.007759742485207694,0.008274484152149202,0.3064145808712374,,,,,,,,,,,,,
20,87.2239,88.9862,90.5759,-1.7623,1.5897,-3.352,75,0.0078680281617779,0.008366017530769352,0.170871796595031,,,,,,,,,,,,,
30,82.5599,89.0957,90.721,-6.5358,1.6253,-8.1611,75,0.007886029542825183,0.008377384411676526,0.09096339862721858,,,,,,,,,,,,,
