k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,85.0624,72.9577,71.0127,12.1046,-1.945,14.0496,75,0.012505952666665366,0.014302480502103471,,,,,,,,,,,,,
2,86.342,75.3132,71.8444,11.0288,-3.4688,14.4977,75,0.012997530317191364,0.02461344360193437,,,,,,,,,,,,,
4,85.6258,75.3132,72.11,10.3125,-3.2032,13.5158,75,0.013113386701261595,0.026723769976507102,,,,,,,,,,,,,
6,85.7653,75.0047,72.55,10.7606,-2.4547,13.2153,75,0.012823273444536426,0.026714487581891978,,,,,,,,,,,,,
8,85.717,75.0235,72.7297,10.6935,-2.2938,12.9873,75,0.012859933836361071,0.025659317822496454,,,,,,,,,,,,,
10,85.5989,74.4735,72.1261,11.1254,-2.3474,13.4728,75,0.0127457167271786,0.024090598885153025,60.2522,59.1469,84.11,82.444,59.9115,50.3957,64.2093,-1.0,11.983903169631958,-11.873909791310638,-12.979207913080849,nested_spheres_a-1.0_b-0.5,12.021461725234985
12,85.4594,73.8887,72.4588,11.5708,-1.4299,13.0007,75,0.01273262858391536,0.022324577974657863,,,,,,,,,,,,,
20,84.6304,74.1757,73.5775,10.4547,-0.5983,11.053,75,0.013480591767273984,0.015759116004650662,,,,,,,,,,,,,
30,83.882,73.6284,73.5292,10.2535,-0.0993,10.3528,75,0.017103508860262122,0.010367131878014513,,,,,,,,,,,,,
