k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,68.1828,67.078,65.657,1.1047,-1.421,2.5258,15,0.14070521247920664,0.008326560041425924,,,,,,,,,,,,,
2,71.4697,70.9329,69.9678,0.5367,-0.9651,1.5018,15,0.18421364409134858,0.018592604438831307,,,,,,,,,,,,,
4,71.7477,71.5395,70.6948,0.2082,-0.8447,1.0529,15,0.1949397256762515,0.02499902637676484,,,,,,,,,,,,,
6,71.3832,71.3245,70.773,0.0587,-0.5515,0.6103,15,0.19520218223251307,0.030211934778410308,,,,,,,,,,,,,
8,70.8258,71.2701,70.6553,-0.4443,-0.6148,0.1705,15,0.19259496801700723,0.03419315587750581,,,,,,,,,,,,,
10,70.349,71.024,70.5299,-0.675,-0.4941,-0.1809,15,0.18869914445775968,0.037215090373954776,70.5437,70.5745,69.995,70.4829,70.6564,70.6239,70.5557,1.0,0.02578695615132176,0.013717015584305159,0.04457831382751465,nested_spheres_a0.5_b0.5,0.12866179148356593
12,69.8485,70.7796,70.4937,-0.9311,-0.2859,-0.6452,15,0.18432977463155042,0.03953676377216656,,,,,,,,,,,,,
20,67.6928,69.7422,70.1316,-2.0494,0.3894,-2.4388,15,0.16727601738362824,0.04505194228716356,,,,,,,,,,,,,
30,65.9529,68.4918,69.6942,-2.5389,1.2024,-3.7413,15,0.15044713015280137,0.048613459085770444,,,,,,,,,,,,,
