dataset,source,Dim,RankDef,a_speed90,a_speed95,a_speed99,a_auc,b_speed90,b_speed95,b_speed99,b_auc,c_speed90,c_speed95,c_speed99,c_auc
ogbn-arxiv,OGB,128,,0.0,1.6,23.0,0.9958938889220622,0.0,0.2,4.8,1.0053463359435917,0.0,0.0,0.0,1.0509301354579053
cora,Planetoid,1431/1433,⚠️,1.6,51.8,75.4,0.9635695463401784,64.6,67.2,69.4,0.9226805559141246,4.2,4.8,5.0,1.138436506009874
citeseer,Planetoid,3254/3703,⚠️,1.4,1.8,2.4,0.9522845560156833,10.2,30.6,34.4,0.8987576551234001,8.4,11.6,15.8,0.9189930757282603
pubmed,Planetoid,500,,0.6,1.0,71.8,0.9818749063028998,1.2,40.2,65.6,0.9760899518020603,0.0,4.6,6.6,1.06622650160014
wikics,WikiCS,300,,0.6,1.2,11.4,0.9788480828234432,71.6,111.8,144.0,0.9127763150676149,4.2,5.6,7.6,1.0018026194913852
amazon-photo,Amazon,745,,0.0,0.4,0.6,0.986264921921489,0.8,9.0,43.0,0.9854666811627167,1.0,1.0,1.4,1.0068378344135829
amazon-computers,Amazon,767,,0.6,0.8,1.6,0.9970574512285653,0.0,0.8,2.8,0.9837630163386819,0.8,1.0,1.8,0.9992141163448407
coauthor-cs,Coauthor,6803/6805,⚠️,0.0,0.0,0.0,1.0075394149617232,4.4,10.2,30.4,0.9902038487480935,2.0,4.8,17.4,0.9889563353354983
coauthor-physics,Coauthor,7701/8415,⚠️,0.0,0.0,0.6,0.9933817364549723,0.2,2.8,12.2,0.9929619654011036,0.0,0.0,3.0,0.9954905099056888
