k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,73.5629,63.2013,65.8333,10.3616,2.6321,7.7296,75,0.024472646556940474,0.04715160764786883,,,,,,,,,,,,,
2,73.9025,61.1572,66.0189,12.7453,4.8616,7.8836,75,0.02406144059452504,0.05867708700089862,,,,,,,,,,,,,
4,73.9371,61.4434,66.0157,12.4937,4.5723,7.9214,75,0.024969117317467645,0.062122184019078895,,,,,,,,,,,,,
6,74.544,60.5346,65.2893,14.0094,4.7547,9.2547,75,0.02441171451396556,0.06333121966988439,,,,,,,,,,,,,
8,74.4371,61.2013,63.0,13.2358,1.7987,11.4371,75,0.026168741905387462,0.06234914480529058,,,,,,,,,,,,,
10,74.0409,60.0409,62.956,14.0,2.9151,11.0849,75,0.026631753936853058,0.060010779814317336,39.544,38.9748,74.5692,72.8931,39.3868,25.5126,40.2547,-1.0,11.613208055496209,-23.411949912707016,-23.981132308642074,nested_spheres_a-1.0_b1.0,11.698113123575844
12,73.9088,60.739,63.4937,13.1698,2.7547,10.4151,75,0.024930530116257527,0.056995694590716385,,,,,,,,,,,,,
20,74.1258,60.4748,59.912,13.6509,-0.5629,14.2138,75,0.026117339456154694,0.044299285476931384,,,,,,,,,,,,,
30,73.761,60.9088,60.6289,12.8522,-0.2799,13.1321,75,0.02697925720191041,0.03286016449675683,,,,,,,,,,,,,
