k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,68.6933,42.3067,42.3467,26.3867,0.04,26.3467,15,0.006675558319516643,0.003763771634437967,,,,,,,,,,,,,
2,73.52,46.5533,45.7333,26.9667,-0.82,27.7867,15,0.009788813369513627,0.051468741343690255,,,,,,,,,,,,,
4,74.9267,45.2733,44.3933,29.6533,-0.88,30.5333,15,0.016489230652130198,0.06745337166285652,,,,,,,,,,,,,
6,74.46,47.0467,46.42,27.4133,-0.6267,28.04,15,0.022593146137686235,0.07516548834781404,,,,,,,,,,,,,
8,74.94,46.9,46.26,28.04,-0.64,28.68,15,0.026416506614619088,0.08066402159199378,,,,,,,,,,,,,
10,75.16,47.5933,47.72,27.5667,0.1267,27.44,15,0.02931186617278406,0.08434452261083913,48.7867,47.96,51.8333,50.06,48.36,46.1933,44.6267,-1.0,4.113333622614547,1.0666666428248064,0.23999949296315748,nested_spheres_a-1.0_b-1.0,4.799999992052719
12,75.9467,47.8467,47.6867,28.1,-0.16,28.26,15,0.03170037635256235,0.08653438284216854,,,,,,,,,,,,,
20,75.5667,48.2333,50.9267,27.3333,2.6933,24.64,15,0.03765962403922163,0.0870480789025783,,,,,,,,,,,,,
30,75.5333,50.04,52.18,25.4933,2.14,23.3533,15,0.040113015602155695,0.08081835073430235,,,,,,,,,,,,,
