Dataset,SGC (k=2),SGC+MLP (k=2),SGC Baseline,SGC+MLP,Restricted+Std,RowNorm,RowNorm+Radius,Log-Magnitude,Log-Magnitude+Radius,Nested Spheres,Nested+Radius,Oversmoothing SGC,Oversmoothing MLP,Part A,Part B,Part B.5,Part B.6,Part B.7 (RowNorm),Part B.7 (Log-Mag),Part B.7 (Nested),Gap (RowNorm),Gap (RowNorm+Radius),Gap (Log-Mag),Gap (Log-Mag+Radius),Gap (Nested),Gap (Nested+Radius)
amazon-computers,,93.21,76.76,,89.58,90.26,90.02,90.81,90.66,91.04,90.98,-13.29,-9.36,5.72,0.68,1.23,1.47,-0.24,-0.15,-0.06,6.40,6.17,6.95,6.80,7.19,7.13
amazon-photo,,94.78,87.35,,88.14,90.51,90.38,90.41,90.29,91.29,91.28,-6.40,-4.42,-2.22,2.38,2.27,3.15,-0.13,-0.12,-0.01,0.16,0.03,0.05,-0.07,0.94,0.92
citeseer,,52.16,72.79,,32.07,69.80,68.78,65.34,65.88,67.96,67.99,3.35,10.17,-30.26,37.74,33.27,35.90,-1.03,0.54,0.03,7.48,6.46,3.02,3.56,5.64,5.67
coauthor-cs,,93.87,90.21,,81.21,80.94,81.80,84.71,84.05,89.59,89.59,-4.42,-2.08,-10.58,-0.27,3.50,8.38,0.86,-0.67,0.01,-10.85,-9.99,-7.08,-7.74,-2.20,-2.20
coauthor-physics,,95.86,93.87,,88.10,92.43,92.51,93.36,93.59,94.81,94.90,-2.14,-0.74,-7.03,4.34,5.26,6.72,0.08,0.23,0.09,-2.69,-2.61,-1.76,-1.53,-0.31,-0.22
cora,,64.87,81.22,,36.42,59.83,59.72,53.62,52.28,67.10,67.48,4.37,11.04,-39.50,23.41,17.20,30.69,-0.11,-1.33,0.37,-16.09,-16.20,-22.30,-23.63,-8.81,-8.44
ogbn-arxiv,,70.41,44.18,,71.22,70.69,70.90,70.61,70.51,69.33,69.24,-14.08,0.40,0.40,-0.52,-0.61,-1.89,0.20,-0.09,-0.09,-0.12,0.08,-0.21,-0.30,-1.48,-1.58
pubmed,,71.04,75.16,,46.70,50.58,49.48,49.80,49.92,52.34,50.64,-1.92,5.30,-29.64,3.88,3.10,5.64,-1.10,0.12,-1.70,-25.76,-26.86,-26.54,-26.42,-24.00,-25.70
wikics,,78.65,59.72,,69.01,65.89,66.09,66.72,66.94,65.55,65.72,-17.01,-2.24,-7.41,-3.12,-2.29,-3.46,0.20,0.22,0.17,-10.53,-10.33,-9.69,-9.47,-10.87,-10.70
