k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,87.4675,86.6471,86.1444,0.8205,-0.5027,1.3232,75,0.02631994378106318,0.046901309518400595,,,,,,,,,,,,,
2,87.4114,86.4246,86.7181,0.9868,0.2934,0.6934,75,0.024792999575103804,0.06655167970131073,,,,,,,,,,,,,
4,85.3925,83.9861,84.3597,1.4064,0.3736,1.0328,75,0.02231790303595769,0.05027743668737516,,,,,,,,,,,,,
6,84.4371,83.0953,83.4858,1.3418,0.3905,0.9513,75,0.023137644464676452,0.04616888216972651,,,,,,,,,,,,,
8,84.0737,82.9064,83.2116,1.1673,0.3053,0.8621,75,0.02376018538200724,0.04333659609670694,,,,,,,,,,,,,
10,83.7813,82.7721,83.1082,1.0091,0.336,0.6731,75,0.024066939261931118,0.040484713219572185,83.498,83.5176,83.2988,83.2968,83.3259,83.3719,83.2393,0.0,0.21771486600239598,0.38979021708169626,0.40939784049987793,nested_spheres_a0.5_b1.0,0.4827582836151123
12,83.5609,82.8208,83.073,0.74,0.2522,0.4878,75,0.024203590879225894,0.03755670448631019,,,,,,,,,,,,,
20,83.0889,82.9659,83.0382,0.1231,0.0723,0.0507,75,0.024364839676587667,0.026553042821534412,,,,,,,,,,,,,
30,82.7011,83.1139,83.0568,-0.4128,-0.0571,-0.3556,75,0.024599756383023197,0.016423068712257866,,,,,,,,,,,,,
