Dataset,k,Restricted+StandardMLP,Restricted+RowNorm,Improvement (pp),RowNorm Helps?
amazon-computers,10,89.25%,90.13%,+0.87,Yes
amazon-photo,10,88.16%,90.50%,+2.34,Yes
citeseer,10,31.31%,69.86%,+38.55,Yes
coauthor-cs,10,79.23%,81.29%,+2.06,Yes
coauthor-physics,10,88.25%,91.77%,+3.51,Yes
cora,10,35.65%,59.19%,+23.54,Yes
ogbn-arxiv,10,70.98%,70.17%,-0.81,No
pubmed,10,46.98%,49.14%,+2.16,Yes
wikics,10,67.03%,65.02%,-2.00,No
