k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,78.0804,52.7419,51.1776,25.3385,-1.5643,26.9028,15,0.15595057062436704,0.028744564268291167,,,,,,,,,,,,,
2,78.9092,58.2173,56.5268,20.6918,-1.6906,22.3824,15,0.1355038991789162,0.049897764214430144,,,,,,,,,,,,,
4,78.1158,60.3152,58.954,17.8006,-1.3612,19.1618,15,0.09083269739470902,0.07557620102621693,,,,,,,,,,,,,
6,77.4984,62.9892,60.8016,14.5092,-2.1876,16.6968,15,0.07247135527662646,0.09780249089822972,,,,,,,,,,,,,
8,76.3013,64.936,62.3446,11.3653,-2.5913,13.9567,15,0.06384917838614006,0.11631389632887298,,,,,,,,,,,,,
10,75.5162,66.8886,63.3646,8.6276,-3.524,12.1516,15,0.05973429827144549,0.13151381332726161,62.9089,63.1675,65.7423,64.7353,63.3528,61.6127,60.4663,-1.0,2.3776606718699256,-0.45569976170857274,-0.19715507825215184,nested_spheres_a-1.0_b1.0,2.3139115174611433
12,74.776,67.5686,63.8793,7.2074,-3.6893,10.8966,15,0.057721055137889034,0.14386751849248405,,,,,,,,,,,,,
20,72.357,67.9641,65.1839,4.3929,-2.7802,7.1731,15,0.05608661880015429,0.17304421199348521,,,,,,,,,,,,,
30,69.6771,69.2816,66.5781,0.3955,-2.7035,3.099,15,0.05679845773074778,0.18588634828954867,,,,,,,,,,,,,
