dataset,k,eig_min,eig_max,eig_mean,eig_std,d_eff,kappa_eig,kappa_U,ortho_error
amazon-computers,1,0.08905122957806796,1.3403557722849786,0.7928421034941763,0.18277979993146906,767,15.051513366358828,9.836532416308449,1.7521073480963878e-10
amazon-computers,10,0.0315224471215455,1.5777648008409257,0.49631529299334975,0.18422066524075123,767,50.05210397394967,38.55965032627084,6.428663157365122e-10
amazon-computers,30,0.03149284484715697,1.5781637385405805,0.4877965631670486,0.17897241094895291,761,50.111818929024125,65.51766993476933,7.10797865011159e-10
citeseer,1,0.0009279550766772916,1.5017592568062568,0.685542240937843,0.40774061540748835,2035,1618.3534036836925,2.9186563809522736,2.2393320531222116e-10
citeseer,10,0.006443754919456717,1.4987734099040801,0.6429668954043353,0.4139043359152292,1782,232.59317411011097,3.066665979917861,2.182025671260135e-10
citeseer,30,0.019092757211836838,1.4872566680422437,0.34762960660150916,0.2409165874456457,900,77.89637984398591,7.220214060424118,1.8277324098647796e-10
