Dataset,Nodes,Features,Components,Dropped_Eigs,Valid_Eigs,Baseline_Cond,Baseline_Spread,Baseline_Skewness,k2_Cond,k2_Spread,k4_Cond,k4_Spread,k6_Cond,k6_Spread,k8_Cond,k8_Spread,k10_Cond,k10_Spread
ogbn-arxiv,169343,128,1,1,127,3.7915071910855924,0.10976573809438143,-2.214298434948491,4.574223253446256,0.10118362440371907,5.832929568325814,0.11928695668497073,6.794538178676023,0.12181785751807496,7.819533253952063,0.11978853323419458,9.09006061811996,0.11686629524738497
cora,2708,1433,78,78,1353,6.089106542679099,0.28400705363658363,-0.051789818382529676,51.133982623200595,0.354790576922648,65.3549008248132,0.352741615162119,66.2162406795103,0.35221454040317546,66.53369021238318,0.35218075827830636,66.69261112196493,0.3521063750644703
citeseer,3327,3703,438,438,2864,148.93758245384876,0.38898100682576436,-0.1692827087663571,242.76288544482736,0.403882864351919,265.9366606844941,0.40404440185431423,216.13534997231255,0.4053693523315302,154.26654451628508,0.4080648288286076,122.76807887843368,0.4104963177885621
pubmed,19717,500,1,1,499,10.576517451836239,0.13793606908625544,-1.2657697892187363,7.168529036652007,0.1069587508797469,5.359299793548691,0.08811015356965533,5.643938775130866,0.08800904332290116,6.918704939188163,0.0901280416557111,8.256191497530292,0.09208263974760349
amazon-computers,13752,767,314,314,453,1.2359713855915628,0.02447214529588816,1.3773294031231607,3.050139039943108,0.14946790206787242,8.369472659979312,0.17907512443085777,28.11695997869535,0.17799200335988943,40.24650554751593,0.17036627769242868,40.57172417403037,0.1647502283234142
coauthor-cs,18333,6805,1,1,6802,14.441850086155354,0.21953316212430043,-0.42997391615436936,54.254724471392386,0.2914189498346869,71.14331534740407,0.28093835531820344,72.17247779350784,0.2763910729672596,72.44566361041767,0.27476383176132535,72.67924174696199,0.27415018116572165
