Dataset,k,nc,nc params,2nc,2nc params,4nc,4nc params
amazon-computers,10,70.21%,"70,656",79.94%,"73,216",85.11%,"78,336"
amazon-photo,10,61.10%,"69,632",76.25%,"71,680",83.15%,"75,776"
citeseer,10,22.56%,"68,608",23.23%,"70,144",33.21%,"73,216"
coauthor-cs,10,23.99%,"73,216",28.52%,"77,056",36.81%,"84,736"
coauthor-physics,10,49.95%,"68,096",49.94%,"69,376",52.18%,"71,936"
cora,10,19.06%,"69,120",22.40%,"70,912",23.96%,"74,496"
ogbn-arxiv,10,62.48%,"86,016",67.91%,"96,256",N/A,N/A
pubmed,10,42.78%,"67,072",37.32%,"67,840",36.98%,"69,376"
wikics,10,46.40%,"70,656",52.79%,"73,216",59.01%,"78,336"
