Dataset,Best SGC,Best Full,Gap,Severity
amazon-photo,93.76% (k=2),90.50% (k=10),-3.26pp,Minor
citeseer,72.82% (k=8),70.17% (k=2),-2.65pp,Minor
coauthor-cs,94.69% (k=2),83.73% (k=2),-10.97pp,Critical
coauthor-physics,96.01% (k=2),93.92% (k=2),-2.09pp,Minor
cora,80.98% (k=10),66.30% (k=2),-14.69pp,Critical
pubmed,77.04% (k=2),54.80% (k=2),-22.24pp,Critical
wikics,76.73% (k=2),65.02% (k=10),-11.71pp,Critical
