k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,mean_fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,62.7104,39.4973,34.6521,23.2131,-4.8452,28.0583,15,0.004810592440400037,0.004810592440400037,0.018406049191974992,,,,,,,,,,,,,
2,64.2914,36.8743,30.1129,27.4171,-6.7614,34.1785,15,0.004924851376419475,0.004924851376419475,0.019286488956002375,,,,,,,,,,,,,
4,71.8179,37.3698,28.9545,34.4481,-8.4153,42.8634,15,0.004360203178870986,0.004360203178870986,0.022435627851362643,,,,,,,,,,,,,
6,73.8069,36.1967,30.2659,37.6102,-5.9308,43.541,15,0.0039331026231741,0.0039331026231741,0.02383209527964153,,,,,,,,,,,,,
8,75.2204,36.9035,30.1348,38.3169,-6.7687,45.0856,15,0.0036333918800489882,0.0036333918800489882,0.024095842624283884,,,,,,,,,,,,,
10,76.051,38.2222,30.0182,37.8288,-8.204,46.0328,15,0.003442875470841129,0.003442875470841129,0.023764512501103004,33.4572,32.2404,66.0401,61.1148,31.9563,25.3042,22.5938,-1.0,36.021860241889954,3.4389799833297694,2.222222288449604,nested_spheres_a-1.0_b-1.0,35.73770622412363
12,76.4517,38.4699,31.439,37.9818,-7.031,45.0128,15,0.003267266013491241,0.003267266013491241,0.023139624381208427,,,,,,,,,,,,,
20,77.1366,39.2495,31.3588,37.8871,-7.8907,45.7778,15,0.0029363068115406893,0.0029363068115406893,0.02014076321270306,,,,,,,,,,,,,
30,77.6758,39.6357,31.3734,38.0401,-8.2623,46.3024,15,0.0031462159809644325,0.0031462159809644325,0.017768908546997152,,,,,,,,,,,,,
