Dataset,k,nc,nc params,2nc,2nc params,4nc,4nc params
amazon-computers,10,69.91%,"70,656",79.24%,"73,216",84.61%,"78,336"
amazon-photo,10,62.70%,"69,632",77.00%,"71,680",83.38%,"75,776"
citeseer,10,31.50%,"68,608",37.23%,"70,144",47.31%,"73,216"
coauthor-cs,10,23.54%,"73,216",28.34%,"77,056",36.54%,"84,736"
coauthor-physics,10,50.82%,"68,096",50.73%,"69,376",52.33%,"71,936"
cora,10,26.92%,"69,120",37.76%,"70,912",43.09%,"74,496"
ogbn-arxiv,10,64.09%,"86,016",69.83%,"96,256",N/A,N/A
pubmed,10,45.12%,"67,072",45.89%,"67,840",57.51%,"69,376"
wikics,10,60.75%,"70,656",68.57%,"73,216",72.38%,"78,336"
