Dataset,k,nc,nc params,2nc,2nc params,4nc,4nc params
amazon-computers,10,70.14%,"70,656",79.45%,"73,216",84.50%,"78,336"
amazon-photo,10,61.61%,"69,632",76.80%,"71,680",83.26%,"75,776"
citeseer,10,29.71%,"68,608",38.93%,"70,144",45.08%,"73,216"
coauthor-cs,10,24.08%,"73,216",28.62%,"77,056",36.23%,"84,736"
coauthor-physics,10,50.83%,"68,096",50.83%,"69,376",51.86%,"71,936"
cora,10,29.02%,"69,120",38.74%,"70,912",43.82%,"74,496"
ogbn-arxiv,10,63.95%,"86,016",69.96%,"96,256",N/A,N/A
pubmed,10,41.74%,"67,072",46.55%,"67,840",57.82%,"69,376"
wikics,10,59.96%,"70,656",67.36%,"73,216",72.54%,"78,336"
