k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,96.0643,88.7664,92.4806,7.298,3.7142,3.5838,75,0.5440046021379594,0.14591113523148044,,,,,,,,,,,,,
2,95.9753,88.2645,91.5324,7.7107,3.2678,4.4429,75,0.4758808368890216,0.11706180534633774,,,,,,,,,,,,,
4,95.691,86.7633,89.4442,8.9277,2.681,6.2468,75,0.3793277586900316,0.09976414043819318,,,,,,,,,,,,,
6,95.4997,85.7499,88.8029,9.7498,3.0529,6.6968,75,0.3340422357441154,0.09310558498238014,,,,,,,,,,,,,
8,95.3469,86.1241,88.035,9.2228,1.9109,7.3119,75,0.30889961803209703,0.09333167378448871,,,,,,,,,,,,,
10,95.2284,86.3818,88.0315,8.8466,1.6497,7.1969,75,0.294197168319224,0.09710349935301044,89.2804,89.464,94.498,92.9368,89.035,86.1351,84.6951,-1.0,6.46647326151529,1.2488888899485318,1.4324638048807827,nested_spheres_a-1.0_b1.0,6.651980559031159
12,95.1814,86.5115,87.9324,8.67,1.4209,7.2491,75,0.28509743029477563,0.10245286833345621,,,,,,,,,,,,,
20,94.9492,87.6543,88.5681,7.2949,0.9138,6.3811,75,0.2652757829834413,0.12355534494239559,,,,,,,,,,,,,
30,94.5047,91.0178,91.2185,3.487,0.2008,3.2862,75,0.2545012442645365,0.13910469719978277,,,,,,,,,,,,,
