k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,93.2697,82.4773,80.9342,10.7924,-1.5431,12.3355,15,0.2582170679777044,0.8761825856108248,,,,,,,,,,,,,
2,92.8499,78.8186,78.9095,14.0313,0.0909,13.9404,15,0.24541063683830738,0.5881672727413019,,,,,,,,,,,,,
4,91.8411,79.6983,74.9855,12.1429,-4.7128,16.8557,15,0.21565880654510064,0.46558828631175,,,,,,,,,,,,,
6,91.2741,78.2752,72.7808,12.9989,-5.4944,18.4933,15,0.21325529855355804,0.3928267912882535,,,,,,,,,,,,,
8,91.0451,77.3246,71.743,13.7205,-5.5816,19.3021,15,0.2140219971878827,0.3413667114460622,,,,,,,,,,,,,
10,90.8342,77.7717,72.6772,13.0625,-5.0945,18.157,15,0.21498066779686587,0.30082682412319817,70.3108,69.7946,87.59,83.9985,70.438,58.0898,61.5685,-1.0,14.91275827089946,-2.3664120833079068,-2.882588704427093,nested_spheres_a-1.0_b0.0,15.085421800613403
12,90.5871,77.1392,71.1723,13.4478,-5.9669,19.4148,15,0.21579959704639076,0.2676237248083813,,,,,,,,,,,,,
20,89.8528,78.8804,72.1719,10.9724,-6.7085,17.6808,15,0.22570012880328882,0.18170111527537056,,,,,,,,,,,,,
30,88.735,83.0225,80.6688,5.7125,-2.3537,8.0662,15,0.23961131904703373,0.1327976470491176,,,,,,,,,,,,,
