k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,95.5459,88.6899,92.1024,6.856,3.4126,3.4435,15,0.5366184209150044,0.14052200822304306,,,,,,,,,,,,,
2,95.4966,89.3449,91.8473,6.1517,2.5024,3.6493,15,0.4712001031480592,0.11297767312384538,,,,,,,,,,,,,
4,95.3014,85.886,89.8995,9.4155,4.0135,5.4019,15,0.3748309864623871,0.09597049002781186,,,,,,,,,,,,,
6,95.0647,86.0956,89.2773,8.9691,3.1816,5.7874,15,0.3280590797488924,0.0891633022663576,,,,,,,,,,,,,
8,95.0019,86.6425,87.9623,8.3594,1.3198,7.0396,15,0.30307498809000155,0.08924304532705125,,,,,,,,,,,,,
10,94.8783,86.857,88.6947,8.0213,1.8377,6.1836,15,0.28897346841211774,0.09291123560245848,89.1923,89.4638,94.3198,92.6657,89.1333,85.9478,84.8077,-1.0,5.625120004018143,0.4975847403208462,0.7690819104512485,nested_spheres_a-1.0_b-1.0,5.714975595474243
12,94.8048,86.3246,88.6483,8.4802,2.3237,6.1565,15,0.28057285821110906,0.09822411728654672,,,,,,,,,,,,,
20,94.5623,88.3063,88.4058,6.256,0.0995,6.1565,15,0.2613136171766215,0.1197990502400054,,,,,,,,,,,,,
30,94.0541,91.1633,91.399,2.8908,0.2357,2.6551,15,0.253487371971004,0.13636188179543657,,,,,,,,,,,,,
