dataset,k,d_eff,fisher_v1,fisher_v2,fisher_v3,fisher_v5,fisher_v10,fisher_v20,fisher_mean_top20,fisher_max_top20,eig_v1
pubmed,20,500,0.012285,0.05651,0.050928,0.033355,0.034944,0.090765,0.041911,0.146096,0.044337
pubmed,30,500,0.004317,0.013603,0.146181,0.017283,0.00556,0.028264,0.032506,0.146181,0.040062
wikics,1,300,0.119577,0.067804,0.016203,0.120125,0.044844,0.063632,0.062265,0.120125,0.120557
wikics,2,300,0.081826,0.068967,0.025987,0.039198,0.122144,0.054892,0.073198,0.187459,0.109885
wikics,4,300,0.046736,0.07077,0.042465,0.039785,0.030317,0.024367,0.049426,0.171257,0.103368
wikics,6,300,0.030369,0.064532,0.009934,0.077769,0.031008,0.020873,0.046894,0.141752,0.069854
wikics,8,300,0.027521,0.069745,0.005064,0.067246,0.050186,0.010653,0.041261,0.092441,0.062381
wikics,10,300,0.033218,0.072853,0.009337,0.042941,0.067124,0.090605,0.042479,0.090605,0.061141
wikics,12,300,0.040227,0.073747,0.014484,0.025815,0.074479,0.059346,0.041888,0.075009,0.060894
wikics,20,300,0.034763,0.06939,0.020765,0.013392,0.029589,0.07007,0.043279,0.088781,0.060814
wikics,30,300,0.032864,0.068295,0.020543,0.010858,0.038443,0.089369,0.043498,0.089369,0.060813
